"filename", "language", "CSS", "vue", "TypeScript", "comment", "blank", "total"
"k:\Vue_Demo\WeTeam\src\App.vue", "vue", 0, 5, 0, 0, 1, 6
"k:\Vue_Demo\WeTeam\src\components\homeNav.vue", "vue", 0, 25, 0, 0, 3, 28
"k:\Vue_Demo\WeTeam\src\components\leftNav.vue", "vue", 0, 5, 0, 0, 3, 8
"k:\Vue_Demo\WeTeam\src\components\topNav.vue", "vue", 0, 127, 0, 4, 3, 134
"k:\Vue_Demo\WeTeam\src\main.ts", "TypeScript", 0, 0, 16, 0, 4, 20
"k:\Vue_Demo\WeTeam\src\router\index.ts", "TypeScript", 0, 0, 13, 0, 3, 16
"k:\Vue_Demo\WeTeam\src\stores\module\homeStore.ts", "TypeScript", 0, 0, 19, 0, 4, 23
"k:\Vue_Demo\WeTeam\src\stores\type\home.ts", "TypeScript", 0, 0, 3, 0, 1, 4
"k:\Vue_Demo\WeTeam\src\styles\base.css", "CSS", 146, 0, 0, 2, 11, 159
"k:\Vue_Demo\WeTeam\src\styles\iconFont\iconfont.css", "CSS", 22, 0, 0, 0, 6, 28
"k:\Vue_Demo\WeTeam\src\styles\tailwindcss.css", "CSS", 3, 0, 0, 0, 2, 5
"k:\Vue_Demo\WeTeam\src\views\HomeView.vue", "vue", 0, 10, 0, 0, 3, 13
"Total", "-", 171, 172, 51, 6, 44, 444